category,fsq_id,name,latitude,longitude,address,PC6
Seafood Restaurant,4c1a3dd4eac020a1aee842c2,Visboetiek de Otter,52.055384,4.275142,Almeloplein,2533AD
Fried Chicken Joint,58b6bc043cccc667777cdf7c,Chicken Spot,52.050487,4.273667,,2545GG
Falafel Restaurant,4da080f054dd8cfadafd5b72,Karnak,52.050697,4.273313,,2545GG
Chinese Restaurant,4c49d641b5eec9b6fff74aa5,Fong Shou,52.050562,4.27263,Leyweg 533,2545GG
Restaurant,3895485fae14406b93a92eb4,Escamp Ezgi Restaurant,52.050395,4.272516,Leyweg 533B,2545GG
Café,5a5f21440123582998dd6140,Café Boom,52.053358,4.285245,Henriette Roland Holstweg 100 Zuiderpark,2533ST
Restaurant,5a5f21440123582998dd6140,Café Boom,52.053358,4.285245,Henriette Roland Holstweg 100 Zuiderpark,2533ST
Chinese Restaurant,4f2d863be4b0efbc0ff5049c,Happy City,52.050005,4.272598,Leyweg,2545JG
Restaurant,4afeefaffc994d4e8fb017ca,Thaiwest,52.051047,4.273223,Leyweg 517,2545GE
Restaurant,89752b0adb414f0cad83b868,What Else,52.055695,4.272745,Vreeswijkstraat 226,2546CD
Fast Food Restaurant,4d4875596db7236a635ad597,Cafetaria Het Hapje,52.059381,4.279615,,2533SW
South American Restaurant,588c8dc8d772f9164c6e95aa,Mi Lindo Ecuador,52.061292,4.277179,Soestdijksekade 593,2546XE
Bakery,4c5425c6fd2ea593781f9b29,Sander Brood en Banket,52.05725,4.274155,Driebergenstraat 337,2546BJ
Night Club,4dca959dae607b31c0c3c1bf,Copacabana,52.059978,4.273583,Breestraat 3 A Leiden Zuid-Holland,2546BC
Café,4dca959dae607b31c0c3c1bf,Copacabana,52.059978,4.273583,Breestraat 3 A Leiden Zuid-Holland,2546BC
Middle Eastern Restaurant,6152ed3de9ae1f7de78800a3,Yemeni restaurant,52.05592,4.274626,Almeloplein 27,2533AB
Yemeni Restaurant,6152ed3de9ae1f7de78800a3,Yemeni restaurant,52.05592,4.274626,Almeloplein 27,2533AB
Restaurant,4d8e39f7c1b1721e275d2b46,ParkPaviljoen,52.056544,4.285421,Johanna Naberweg 5,2533SE
