category,fsq_id,name,latitude,longitude,address,PC6
Electronics Store,4c6aa557897b1b8d7e44b217,Ink-clinic,52.046316,4.279823,Leyweg 5397,2545GM
Baby Store,524e849c68984641f7381f35,Action in Den Haag,52.046321,4.277737,Leyweg 707M,2545GM
Department Store,528f30de498e10da61cccff2,Action,52.047086,4.277825,Leyweg 707,2545GM
Discount Store,528f30de498e10da61cccff2,Action,52.047086,4.277825,Leyweg 707,2545GM
Department Store,4c4edac61b8e1b8d7c86d627,HEMA,52.047198,4.277554,Leyweg 705,2545GM
Shopping Mall,4b76cc42f964a520e25f2ee3,Winkelcentrum Leyweg,52.046794,4.277886,Leyweg 789,2545GM
Drugstore,4c92221e57e5b60ca743661c,Kruidvat,52.04703,4.277787,Leyweg 709m,2545GM
Grocery Store / Supermarket,4c8941830a28b7130bc156d7,Hoogvliet,52.046975,4.277749,Leyweg 709/r,2545GM
Department Store,4f2d3485e4b06203564785ae,Big Bazar,52.047253,4.277591,Leyweg 707/N,2545GM
Discount Store,4f2d3485e4b06203564785ae,Big Bazar,52.047253,4.277591,Leyweg 707/N,2545GM
Arts and Crafts Store,4da9798543a1128196ddb541,Lenta,52.047155,4.277959,Leyweg 721,2545GM
Clothing Store,4db29b836e817f90df1fd62e,Nelson Schoenen BV,52.047198,4.277554,Leyweg 709/G,2545GM
Shoe Store,4db29b836e817f90df1fd62e,Nelson Schoenen BV,52.047198,4.277554,Leyweg 709/G,2545GM
Miscellaneous Store,50e801ade4b0665493549d3e,Xenos,52.046869,4.278404,,2545GM
Clothing Store,4c6a7cb4d0bdc9b60d89a80b,C&A,52.046682,4.278158,Leyweg 709 Y,2545GM
Women's Store,23319e1c21ea4621fe5a8536,Lady Style Ltd,52.047211,4.27765,Leyweg 707 G,2545GM
Liquor Store,823ad25f02954ad1c4f0e91f,Mitra Slijterij,52.047323,4.277378,Leyweg 709/U,2545GM
Tobacco Store,9cb39a445caf49c89ebd2497,Zigger Sportblok,52.047365,4.27732,Leyweg 707,2545GM
Women's Store,c6172123e0d94e55a7f5bdb6,Zapp Evolution,52.047365,4.27732,Leyweg 707,2545GM
Women's Store,86fd5e6562dd42910ee741a2,Esprit,52.047365,4.27732,Leyweg 709/F,2545GM
Clothing Store,c7a184cbad8943a8b6137b32,Stone Den Haag The,52.047045,4.277536,Leyweg 707/D,2545GM
Women's Store,c7a184cbad8943a8b6137b32,Stone Den Haag The,52.047045,4.277536,Leyweg 707/D,2545GM
